revenue,gender,age,engaged_last_30,lifecycle, days_since_last_order ,previous_order_amount,3rd_party_stores
72.98,1,59,0,B,4.26,2343.87,0
200.99,1,51,0,A,0.94,8539.872,0
69.98,1,79,0,C,4.29,1687.646,1
649.99,,,,C,14.9,3498.846,0
83.59,,,,C,21.13,3968.49,4
319.99,1,80,0,C,15.13,2811.491,10
140,1,60,0,C,11.45,769.99,4
51.98,1,61,0,C,3.71,2542.822,1
587.99,,,,C,22.42,602.98,10
349.99,,,,C,8.26,298.79,3
2016.99,1,50,1,C,19.42,1679,0
14.99,1,57,0,C,8.29,798.604,3
39.98,,,,C,17.03,923.814,0
659.98,1,64,0,A,0.13,729.78,0
75.96,1,87,0,C,5.29,958.972,2
779.99,,,,C,22.87,5016.214,10
84.99,,,,C,7.52,1630.98,0
293.88,1,73,0,A,0.81,199.49,0
414,,,,C,5.13,2063.822,0
955.98,,,,C,8.1,2528.14,0
128.96,1,50,0,C,3.45,140.74,1
209.98,1,57,0,C,16,3197.35,0
365,,,,A,0.68,9549.9,0
815.43,1,40,0,C,12.74,1246.3,0
908.96,,,,C,9.45,1234.86,0
63.98,1,43,0,C,11.81,680.587,3
366.54,1,61,0,C,0.13,542.2,10
59.99,1,91,0,A,0.13,4030.694,0
29.99,1,66,0,A,0.58,1862,0
549.99,1,49,0,B,1.16,4179.922,0
150.99,1,75,0,C,15.58,9780.957,1
368.95,,,,C,8.9,2087.604,4
119.99,1,30,0,B,5,1372.484,0
59.99,1,74,0,B,1.48,0,0
139.99,,,,A,0.26,11597.9,0
279.96,0,51,0,C,4.48,2302.912,1
143.99,1,52,0,C,22.03,2020.8,10
59.99,1,73,0,C,4.13,2471.111,10
27.88,1,43,0,B,1.23,3331.547,0
178.99,1,67,0,C,7.45,4517.057,3
61.97,,,,C,7.13,3192.719,2
69.99,,,,C,2.29,2117.59,10
111.56,,,,C,6.39,948.99,0
69.99,1,,0,B,1.68,1781.99,0
463.99,,,,C,13.19,3053.508,10
89.99,,,,C,3.58,138.99,1
106.36,1,91,0,B,2,2297.442,0
131.08,1,67,0,C,21.74,1774.664,10
448.99,1,57,0,C,10.58,2838.678,0
32.99,1,69,0,C,19.94,0,10
239,1,49,0,C,15.9,6535.01,0
97.97,,,,B,4.58,0,0
13.98,1,39,0,C,11.1,2461.749,2
449.98,1,59,0,C,6.58,5234.883,0
469.94,,,,C,5.81,1760.35,2
379.99,,,,C,14.06,931.8,1
140,1,75,0,C,11.65,3301.97,3
547.98,,,,C,10.35,3497.827,0
849.99,,,,A,0.48,1038.874,0
140,,,,C,10.45,1607.514,0
1252.76,1,52,0,C,10.81,786.98,0
470.39,1,87,0,C,5.1,1465.39,0
61.97,1,41,1,C,13.61,560.905,0
48.49,,,,A,0.35,2475.42,0
206.08,1,62,0,C,6.9,2639.707,9
129.99,0,51,0,B,4.52,2660.24,0
110,1,64,0,C,0.35,1592.567,1
52.97,1,67,0,C,2.45,1828.151,0
30.99,,,,C,0.74,999.45,10
649.99,1,80,0,C,5.29,6.99,0
28.99,1,71,0,C,17.13,2866.359,10
277.96,,,,C,4.52,1935.58,10
35.99,1,73,0,B,1.19,1193.94,0
66.98,1,43,0,B,1.1,2489.459,0
239,,,,A,0.13,2645.99,0
312.98,1,75,0,B,1.74,1672.067,0
64.99,1,72,0,C,9.87,6155.844,0
140,,,,C,3.16,3489.229,10
16.99,,,,C,8.68,659.237,4
19.98,,,,C,8.94,875.967,10
419.99,1,54,0,C,8.77,766.98,0
228.61,1,65,0,C,8.77,1556.544,4
239.97,,,,C,23.13,256.587,0
638.97,1,61,0,C,22.94,1214.99,0
89.95,1,59,0,C,2.55,529.94,0
1347.98,,,,C,10.03,1156.02,0
136,,,,B,4.61,990.29,0
388.99,1,76,0,C,6.94,2147.13,1
239,1,75,0,C,14.26,2585.617,6
111.96,1,89,0,C,11.39,89.99,5
174.98,,,,C,5.13,856.99,2
133.96,1,57,0,C,14.77,1055.699,6
66.98,1,53,0,B,3.77,760.527,0
66.98,,,,C,14.71,1470.992,10
4858.22,1,39,1,C,11.48,11597.9,0
292.99,1,56,0,B,2.45,7301.554,0
1216.32,,,,C,17.58,1637,0
178.94,1,88,0,C,7.48,1062.486,10
448.94,,,,B,4.35,2159.899,0
136.671,1,86,0,B,1.32,2290.096,0
480.02,,,,C,11.97,1386.63,10
856.27,1,51,0,C,6.23,4049.772,0
298.95,1,53,0,A,0.48,3409.14,0
149.99,1,78,1,C,3.97,2143.907,10
667.34,1,86,0,C,14.42,193.98,5
77.08,1,63,0,A,0.74,1497.72,0
39.98,,,,C,5.9,138,2
668.95,1,,0,C,4.13,3969.761,1
